"","Ind","house","age","sex","income"
"1","ind1","120","0-4","m",NA
"2","ind10","94","0-4","m","$75,000 to $99,999"
"3","ind100","83","0-4","m","$60,000 to $74,999"
"4","ind101","82","0-4","m",NA
"5","ind102","119","0-4","m","$20,000 to $24,999"
"6","ind103","107","0-4","m","$20,000 to $24,999"
"7","ind104","102","0-4","m","$20,000 to $24,999"
"8","ind105","120","0-4","m",NA
"9","ind106","104","0-4","m","$20,000 to $24,999"
"10","ind107","113","0-4","m",NA
"11","ind108","99","0-4","m",NA
"12","ind109","86","0-4","m",NA
"13","ind11","115","0-4","m",NA
"14","ind110","124","0-4","m","$25,000 to $29,999"
"15","ind111","101","0-4","m",NA
"16","ind112","92","0-4","m",NA
"17","ind113","102","5-9","m","$20,000 to $24,999"
"18","ind114","67","5-9","m",NA
"19","ind115","119","5-9","m","$20,000 to $24,999"
"20","ind116","106","5-9","m","$20,000 to $24,999"
"21","ind117","75","5-9","m",NA
"22","ind118","115","5-9","m",NA
"23","ind119","118","5-9","m",NA
"24","ind12","87","5-9","m","$60,000 to $74,999"
"25","ind120","124","5-9","m","$25,000 to $29,999"
"26","ind121","97","5-9","m","$75,000 to $99,999"
"27","ind122","118","5-9","m",NA
"28","ind123","100","5-9","m",NA
"29","ind124","102","5-9","m","$20,000 to $24,999"
"30","ind125","106","5-9","m","$20,000 to $24,999"
"31","ind126","85","5-9","m",NA
"32","ind127","98","5-9","m","$75,000 to $99,999"
"33","ind128","118","5-9","m",NA
"34","ind129","105","5-9","m","$20,000 to $24,999"
"35","ind13","119","5-9","m","$20,000 to $24,999"
"36","ind130","88","5-9","m",NA
"37","ind131","103","5-9","m","$20,000 to $24,999"
"38","ind132","102","5-9","m","$20,000 to $24,999"
"39","ind133","105","5-9","m","$20,000 to $24,999"
"40","ind134","97","5-9","m","$75,000 to $99,999"
"41","ind135","104","10-14","m","$20,000 to $24,999"
"42","ind136","92","10-14","m",NA
"43","ind137","103","10-14","m","$20,000 to $24,999"
"44","ind138","99","10-14","m",NA
"45","ind139","114","10-14","m","$20,000 to $24,999"
"46","ind14","109","10-14","m","$20,000 to $24,999"
"47","ind140","123","10-14","m","$20,000 to $24,999"
"48","ind141","114","10-14","m","$20,000 to $24,999"
"49","ind142","98","10-14","m","$75,000 to $99,999"
"50","ind143","123","10-14","m","$20,000 to $24,999"
"51","ind144","93","10-14","m",NA
"52","ind145","91","10-14","m","$75,000 to $99,999"
"53","ind146","116","10-14","m","$20,000 to $24,999"
"54","ind147","111","10-14","m","$20,000 to $24,999"
"55","ind148","115","10-14","m",NA
"56","ind149","100","10-14","m",NA
"57","ind15","116","10-14","m","$20,000 to $24,999"
"58","ind150","113","10-14","m",NA
"59","ind151","101","10-14","m",NA
"60","ind152","111","10-14","m","$20,000 to $24,999"
"61","ind153","119","10-14","m","$20,000 to $24,999"
"62","ind154","96","10-14","m","$75,000 to $99,999"
"63","ind155","116","10-14","m","$20,000 to $24,999"
"64","ind156","122","10-14","m","$20,000 to $24,999"
"65","ind157","117","10-14","m","$20,000 to $24,999"
"66","ind158","85","10-14","m",NA
"67","ind159","89","10-14","m",NA
"68","ind16","114","10-14","m","$20,000 to $24,999"
"69","ind160","93","10-14","m",NA
"70","ind161","121","10-14","m",NA
"71","ind162","65","10-14","m",NA
"72","ind163","70","10-14","m","$50,000 to $59,999"
"73","ind164","64","10-14","m",NA
"74","ind165","81","15-17","m","$60,000 to $74,999"
"75","ind166","107","15-17","m","$20,000 to $24,999"
"76","ind167","104","15-17","m","$20,000 to $24,999"
"77","ind168","78","15-17","m","$60,000 to $74,999"
"78","ind169","92","15-17","m",NA
"79","ind17","77","15-17","m","$60,000 to $74,999"
"80","ind170","112","15-17","m","$20,000 to $24,999"
"81","ind171","105","15-17","m","$20,000 to $24,999"
"82","ind172","117","15-17","m","$20,000 to $24,999"
"83","ind173","126","18-19","m",NA
"84","ind181","132","18-19","m",NA
"85","ind184","58","18-19","m","$50,000 to $59,999"
